grade,subjectId,subject,topics,exercises,fastShare,richInteractiveShare,topicWithoutRich,topicFastOnly,usedTypes,difficulty1,difficulty2,difficulty3,multiple-choice,fill-in-blank,self-review,counting,matching,memory,drag-drop,number-line,word-search
"1","math","Mathe","13","711","93.7","6.3","3","3","multiple-choice, fill-in-blank, counting, memory, drag-drop, number-line","213","285","213","336","330","0","17","0","5","16","7","0"
"1","german","Deutsch","11","550","95.3","4.7","1","1","multiple-choice, fill-in-blank, memory, drag-drop, word-search","165","220","165","329","195","0","0","0","1","24","0","1"
"1","science","NMG","12","602","95.8","4.2","0","0","multiple-choice, fill-in-blank, matching, memory, drag-drop","180","242","180","249","328","0","0","3","8","14","0","0"
"2","math","Mathe","13","652","99.4","0.6","10","10","multiple-choice, fill-in-blank, memory, drag-drop, number-line","195","262","195","316","332","0","0","0","1","1","2","0"
"2","german","Deutsch","11","550","97.5","2.4","6","6","multiple-choice, fill-in-blank, self-review, drag-drop","165","220","165","319","217","1","0","0","0","13","0","0"
"2","science","NMG","11","550","97.6","2.4","4","4","multiple-choice, fill-in-blank, matching, memory, drag-drop","165","220","165","233","304","0","0","2","4","7","0","0"
"3","math","Mathe","10","500","100","0","10","10","multiple-choice, fill-in-blank","150","200","150","244","256","0","0","0","0","0","0","0"
"3","german","Deutsch","9","452","98.2","1.8","5","5","multiple-choice, fill-in-blank, drag-drop","135","180","137","268","176","0","0","0","0","8","0","0"
"3","science","NMG","12","600","98.3","1.7","6","6","multiple-choice, fill-in-blank, matching, memory, drag-drop","180","240","180","383","207","0","0","1","3","6","0","0"
"3","english","Englisch","9","450","96.2","0","9","1","multiple-choice, fill-in-blank, self-review","135","180","135","245","188","17","0","0","0","0","0","0"
"3","french","Franzoesisch","9","450","82","12","0","0","multiple-choice, fill-in-blank, self-review, matching, memory, drag-drop, word-search","135","180","135","324","45","27","0","18","9","18","0","9"
"3","mi","Medien und Informatik","2","54","59.3","33.3","0","0","multiple-choice, fill-in-blank, self-review, matching, memory, drag-drop, word-search","17","21","16","18","14","4","0","6","4","6","0","2"
"4","math","Mathe","10","501","98.8","1.2","7","7","multiple-choice, fill-in-blank, matching, drag-drop, number-line","150","200","151","177","318","0","0","1","0","3","2","0"
"4","german","Deutsch","10","500","98.4","1.6","6","6","multiple-choice, fill-in-blank, drag-drop","150","200","150","219","273","0","0","0","0","8","0","0"
"4","science","NMG","21","1070","97.9","1.9","13","13","multiple-choice, fill-in-blank, self-review, matching, memory, drag-drop, word-search","320","430","320","525","522","3","0","5","3","10","0","2"
"4","english","Englisch","9","458","96.1","1.3","4","2","multiple-choice, fill-in-blank, self-review, matching, memory, drag-drop, word-search","137","184","137","236","204","12","0","2","1","2","0","1"
"4","french","Franzoesisch","9","458","80.6","13.1","0","0","multiple-choice, fill-in-blank, self-review, matching, memory, drag-drop, word-search","137","184","137","324","45","29","0","20","10","20","0","10"
"4","mi","Medien und Informatik","2","54","59.3","33.3","0","0","multiple-choice, fill-in-blank, self-review, matching, memory, drag-drop, word-search","17","22","15","18","14","4","0","6","4","6","0","2"
"5","math","Mathe","9","450","99.1","0.9","6","6","multiple-choice, fill-in-blank, drag-drop, number-line","135","180","135","162","284","0","0","0","0","3","1","0"
"5","german","Deutsch","10","500","98.2","1.8","6","6","multiple-choice, fill-in-blank, drag-drop","150","200","150","231","260","0","0","0","0","9","0","0"
"5","science","NMG","21","1070","97.9","1.6","14","13","multiple-choice, fill-in-blank, self-review, matching, memory, drag-drop, word-search","319","430","321","528","520","5","0","5","4","6","0","2"
"5","french","Franzoesisch","9","458","95.4","1.3","3","1","multiple-choice, fill-in-blank, self-review, matching, memory, drag-drop, word-search","137","184","137","234","203","15","0","2","1","2","0","1"
"5","english","Englisch","9","458","94.3","1.3","4","0","multiple-choice, fill-in-blank, self-review, matching, memory, drag-drop, word-search","137","184","137","225","207","20","0","2","1","2","0","1"
"5","mi","Medien und Informatik","2","54","59.3","33.3","0","0","multiple-choice, fill-in-blank, self-review, matching, memory, drag-drop, word-search","16","20","18","18","14","4","0","6","4","6","0","2"
"6","math","Mathe","9","450","99.8","0.2","8","8","multiple-choice, fill-in-blank, number-line","135","180","135","165","284","0","0","0","0","0","1","0"
"6","german","Deutsch","10","500","99","1","9","9","multiple-choice, fill-in-blank, drag-drop","150","200","150","280","215","0","0","0","0","5","0","0"
"6","science","NMG","21","1070","98.1","1.6","14","13","multiple-choice, fill-in-blank, self-review, matching, memory, drag-drop, word-search","318","429","323","528","522","3","0","5","3","7","0","2"
"6","french","Franzoesisch","9","458","95.2","1.3","3","0","multiple-choice, fill-in-blank, self-review, matching, memory, drag-drop, word-search","137","184","137","223","213","16","0","2","1","2","0","1"
"6","english","Englisch","9","458","93.2","1.3","3","0","multiple-choice, fill-in-blank, self-review, matching, memory, drag-drop, word-search","137","184","137","225","202","25","0","2","1","2","0","1"
"6","mi","Medien und Informatik","2","54","59.3","33.3","0","0","multiple-choice, fill-in-blank, self-review, matching, memory, drag-drop, word-search","15","21","18","20","12","4","0","6","4","6","0","2"
