key,canton,cantonName,schoolLanguage,regionalProfile,curriculumSystem,profileId,productStatus,miDelivery,languagePlan,grade1,grade2,grade3,grade4,grade5,grade6,note
"AG-DE","AG","Aargau","de","","lp21","lp21_e3_f5","supported_in_shipped_scope","grades_5_6","L2 english from grade 3 (3:3/4:3/5:2/6:2, 45min); L3 french from grade 5 (5:3/6:3, 45min)","Math + Deutsch + NMG","Math + Deutsch + NMG","Math + Deutsch + NMG + Englisch","Math + Deutsch + NMG + Englisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Default LP21 German-school-language row."
"AI-DE","AI","Appenzell Innerrhoden","de","","lp21","lp21_e3_only","supported_in_shipped_scope","grades_3_6","L2 english from grade 3 (3:2/4:2/5:2/6:2, 45min)","Math + Deutsch + NMG","Math + Deutsch + NMG","Math + Deutsch + NMG + MI + Englisch","Math + Deutsch + NMG + MI + Englisch","Math + Deutsch + NMG + MI + Englisch","Math + Deutsch + NMG + MI + Englisch","Default LP21 German-school-language row."
"AR-DE","AR","Appenzell Ausserrhoden","de","","lp21","lp21_e3_f5","supported_in_shipped_scope","grades_5_6","L2 english from grade 3 (3:3/4:3/5:2/6:2, 45min); L3 french from grade 5 (5:3/6:3, 45min)","Math + Deutsch + NMG","Math + Deutsch + NMG","Math + Deutsch + NMG + Englisch","Math + Deutsch + NMG + Englisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Default LP21 German-school-language row."
"BE-DE","BE","Bern","de","","lp21","lp21_f3_e5","supported_in_shipped_scope","grades_5_6","L2 french from grade 3 (3:3/4:3/5:2/6:2, 45min); L3 english from grade 5 (5:2/6:2, 45min)","Math + Deutsch + NMG","Math + Deutsch + NMG","Math + Deutsch + NMG + Franzoesisch","Math + Deutsch + NMG + Franzoesisch","Math + Deutsch + NMG + MI + Franzoesisch + Englisch","Math + Deutsch + NMG + MI + Franzoesisch + Englisch","German-school-language region; LP21 supported."
"BE-FR","BE","Bern","fr","","per","unsupported_per","guarded","grades_5_6","","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","French-school-language region; PER guarded."
"BL-DE","BL","Basel-Landschaft","de","","lp21","lp21_f3_e5","supported_in_shipped_scope","grades_5_6","L2 french from grade 3 (3:3/4:3/5:2/6:2, 45min); L3 english from grade 5 (5:2/6:2, 45min)","Math + Deutsch + NMG","Math + Deutsch + NMG","Math + Deutsch + NMG + Franzoesisch","Math + Deutsch + NMG + Franzoesisch","Math + Deutsch + NMG + MI + Franzoesisch + Englisch","Math + Deutsch + NMG + MI + Franzoesisch + Englisch","Default LP21 German-school-language row."
"BS-DE","BS","Basel-Stadt","de","","lp21","lp21_f3_e5","supported_in_shipped_scope","grades_5_6","L2 french from grade 3 (3:3/4:3/5:2/6:2, 45min); L3 english from grade 5 (5:2/6:2, 45min)","Math + Deutsch + NMG","Math + Deutsch + NMG","Math + Deutsch + NMG + Franzoesisch","Math + Deutsch + NMG + Franzoesisch","Math + Deutsch + NMG + MI + Franzoesisch + Englisch","Math + Deutsch + NMG + MI + Franzoesisch + Englisch","Default LP21 German-school-language row."
"FR-DE","FR","Freiburg","de","","lp21","lp21_f3_e5","supported_in_shipped_scope","grades_5_6","L2 french from grade 3 (3:3/4:2/5:2/6:2, 50min); L3 english from grade 5 (5:2/6:2, 50min)","Math + Deutsch + NMG","Math + Deutsch + NMG","Math + Deutsch + NMG + Franzoesisch","Math + Deutsch + NMG + Franzoesisch","Math + Deutsch + NMG + MI + Franzoesisch + Englisch","Math + Deutsch + NMG + MI + Franzoesisch + Englisch","German-school-language region; LP21 supported."
"FR-FR","FR","Freiburg","fr","","per","unsupported_per","guarded","grades_5_6","","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","French-school-language region; PER guarded."
"GE-FR","GE","Genf","fr","","per","unsupported_per","guarded","grades_5_6","","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","French-school-language canton; PER guarded."
"GL-DE","GL","Glarus","de","","lp21","lp21_e3_f5","supported_in_shipped_scope","grades_5_6","L2 english from grade 3 (3:3/4:3/5:2/6:2, 45min); L3 french from grade 5 (5:2/6:2, 45min)","Math + Deutsch + NMG","Math + Deutsch + NMG","Math + Deutsch + NMG + Englisch","Math + Deutsch + NMG + Englisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Default LP21 German-school-language row."
"GR-DE-I","GR","Graubünden","de","de_italian","lp21","lp21_gr_de_i3_e5","guarded","grades_5_6","L2 italian from grade 3 (3:3/4:3/5:2/6:2, 45min); L3 english from grade 5 (5:2/6:2, 45min)","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + Englisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Guarded fallback: Math + Deutsch + NMG + MI + Englisch + Franzoesisch","Graubuenden German school with Italian first foreign language; guarded until Italian content exists."
